Month,Item Fat Content,Item Type,Outlet Location Type,Outlet Size,Outlet Type,Sales,Rating
APR,Low Fat,Canned,Tier 3,Medium,Supermarket Type3,182,5
APR,Low Fat,Snack Foods,Tier 3,Medium,Supermarket Type3,110,5
APR,Low Fat,Meat,Tier 3,Medium,Supermarket Type3,173,5
APR,Low Fat,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,99,5
APR,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,60,5
APR,Low Fat,Others,Tier 3,Medium,Supermarket Type3,51,5
APR,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,47,5
APR,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,63,5
APR,Low Fat,Others,Tier 1,Small,Grocery Store,108,5
APR,Low Fat,Canned,Tier 1,Small,Grocery Store,121,5
APR,Low Fat,Dairy,Tier 1,Small,Grocery Store,263,5
APR,Low Fat,Fruits and Vegetables,Tier 1,Small,Grocery Store,110,5
APR,Low Fat,Fruits and Vegetables,Tier 1,Small,Grocery Store,150,5
APR,Low Fat,Fruits and Vegetables,Tier 1,Small,Grocery Store,168,5
APR,Low Fat,Health and Hygiene,Tier 1,Small,Grocery Store,148,5
APR,Low Fat,Health and Hygiene,Tier 1,Small,Grocery Store,123,5
APR,Low Fat,Health and Hygiene,Tier 1,Small,Grocery Store,146,5
APR,Low Fat,Health and Hygiene,Tier 1,Small,Grocery Store,211,5
APR,Low Fat,Household,Tier 1,Small,Grocery Store,190,5
APR,Low Fat,Household,Tier 1,Small,Grocery Store,244,5
APR,Low Fat,Household,Tier 1,Small,Grocery Store,195,5
APR,Low Fat,Household,Tier 1,Small,Grocery Store,168,5
APR,Low Fat,Meat,Tier 1,Small,Grocery Store,140,5
APR,Low Fat,Seafood,Tier 1,Small,Grocery Store,34,5
APR,Regular,Breakfast,Tier 1,Small,Grocery Store,233,5
APR,Regular,Canned,Tier 1,Small,Grocery Store,107,5
APR,Regular,Fruits and Vegetables,Tier 1,Small,Grocery Store,179,5
APR,Regular,Meat,Tier 1,Small,Grocery Store,101,5
APR,Regular,Starchy Foods,Tier 1,Small,Grocery Store,174,5
APR,Regular,Canned,Tier 1,Small,Grocery Store,104,5
APR,Regular,Frozen Foods,Tier 1,Small,Grocery Store,84,5
APR,Low Fat,Canned,Tier 3,Medium,Supermarket Type3,139,5
APR,Low Fat,Canned,Tier 3,Medium,Supermarket Type3,56,5
APR,Low Fat,Frozen Foods,Tier 3,Medium,Supermarket Type3,97,5
APR,Low Fat,Frozen Foods,Tier 3,Medium,Supermarket Type3,60,5
APR,Low Fat,Frozen Foods,Tier 3,Medium,Supermarket Type3,149,5
APR,Low Fat,Frozen Foods,Tier 3,Medium,Supermarket Type3,126,5
APR,Low Fat,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,232,5
APR,Low Fat,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,125,5
APR,Low Fat,Hard Drinks,Tier 3,Medium,Supermarket Type3,181,5
APR,Low Fat,Health and Hygiene,Tier 3,Medium,Supermarket Type3,110,5
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,53,5
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,178,5
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,94,5
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,246,5
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,39,5
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,146,5
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,167,5
APR,Low Fat,Others,Tier 3,Medium,Supermarket Type3,55,5
APR,Low Fat,Snack Foods,Tier 3,Medium,Supermarket Type3,155,5
APR,Low Fat,Snack Foods,Tier 3,Medium,Supermarket Type3,194,5
APR,Low Fat,Snack Foods,Tier 3,Medium,Supermarket Type3,212,5
APR,Low Fat,Soft Drinks,Tier 3,Medium,Supermarket Type3,44,5
APR,Regular,Baking Goods,Tier 3,Medium,Supermarket Type3,166,5
APR,Regular,Baking Goods,Tier 3,Medium,Supermarket Type3,122,5
APR,Regular,Baking Goods,Tier 3,Medium,Supermarket Type3,94,5
APR,Regular,Breakfast,Tier 3,Medium,Supermarket Type3,169,5
APR,Regular,Canned,Tier 3,Medium,Supermarket Type3,91,5
APR,Regular,Canned,Tier 3,Medium,Supermarket Type3,185,5
APR,Regular,Dairy,Tier 3,Medium,Supermarket Type3,98,5
APR,Regular,Frozen Foods,Tier 3,Medium,Supermarket Type3,230,5
APR,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,172,5
APR,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,110,5
APR,Regular,Meat,Tier 3,Medium,Supermarket Type3,148,5
APR,Regular,Snack Foods,Tier 3,Medium,Supermarket Type3,167,5
APR,Low Fat,Frozen Foods,Tier 1,Small,Grocery Store,103,4.9
APR,Low Fat,Frozen Foods,Tier 3,Medium,Supermarket Type3,195,4.9
APR,Low Fat,Health and Hygiene,Tier 3,Medium,Supermarket Type3,175,4.9
APR,Low Fat,Baking Goods,Tier 3,Medium,Supermarket Type3,118,4.8
APR,Low Fat,Frozen Foods,Tier 1,Small,Grocery Store,214,4.8
APR,Low Fat,Baking Goods,Tier 1,Small,Grocery Store,230,4.8
APR,Low Fat,Dairy,Tier 1,Small,Grocery Store,51,4.8
APR,Low Fat,Snack Foods,Tier 1,Small,Grocery Store,211,4.8
APR,Regular,Dairy,Tier 1,Small,Grocery Store,126,4.8
APR,Regular,Meat,Tier 1,Small,Grocery Store,156,4.8
APR,Regular,Snack Foods,Tier 1,Small,Grocery Store,169,4.8
APR,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,153,4.8
APR,Regular,Meat,Tier 3,Medium,Supermarket Type3,228,4.8
APR,Regular,Starchy Foods,Tier 3,Medium,Supermarket Type3,64,4.8
APR,Regular,Baking Goods,Tier 3,Medium,Supermarket Type3,100,4.7
APR,Low Fat,Dairy,Tier 1,Small,Grocery Store,90,4.7
APR,Low Fat,Snack Foods,Tier 1,Small,Grocery Store,172,4.7
APR,Regular,Frozen Foods,Tier 1,Small,Grocery Store,62,4.7
APR,Regular,Snack Foods,Tier 1,Small,Grocery Store,119,4.7
APR,Low Fat,Baking Goods,Tier 3,Medium,Supermarket Type3,45,4.7
APR,Low Fat,Canned,Tier 3,Medium,Supermarket Type3,180,4.7
APR,Low Fat,Health and Hygiene,Tier 3,Medium,Supermarket Type3,193,4.7
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,90,4.7
APR,Low Fat,Soft Drinks,Tier 3,Medium,Supermarket Type3,65,4.7
APR,Low Fat,Soft Drinks,Tier 3,Medium,Supermarket Type3,147,4.7
APR,Low Fat,Baking Goods,Tier 1,Small,Grocery Store,90,4.6
APR,Regular,Breakfast,Tier 3,Medium,Supermarket Type3,156,4.6
APR,Low Fat,Household,Tier 1,Small,Grocery Store,160,4.6
APR,Regular,Dairy,Tier 1,Small,Grocery Store,220,4.6
APR,Regular,Starchy Foods,Tier 1,Small,Grocery Store,93,4.6
APR,Low Fat,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,94,4.6
APR,Low Fat,Meat,Tier 3,Medium,Supermarket Type3,109,4.6
APR,Low Fat,Meat,Tier 3,Medium,Supermarket Type3,160,4.6
APR,Low Fat,Snack Foods,Tier 3,Medium,Supermarket Type3,122,4.6
APR,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,62,4.6
APR,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,178,4.6
APR,Regular,Meat,Tier 3,Medium,Supermarket Type3,177,4.6
APR,Regular,Meat,Tier 3,Medium,Supermarket Type3,182,4.6
APR,low fat,Health and Hygiene,Tier 3,Medium,Supermarket Type3,235,4.6
